index,study,study_type,gb,boot10,jack10,boot100,jack100,boot1000,jack1000,rep,rep100
5,M19355,phylogenetic,7,100,100,100,100,100,100,0.2413793103,24.13793103
5,M19355,phylogenetic,1,30,80,24,46,32,42,0.03448275862,3.448275862
5,M19355,phylogenetic,2,30,20,36,59,37,55,0.06896551724,6.896551724
5,M19355,phylogenetic,29,100,100,100,100,100,100,1,100
5,M19355,phylogenetic,7,100,100,100,100,100,100,0.2413793103,24.13793103
5,M19355,phylogenetic,1,60,100,59,68,64,75,0.03448275862,3.448275862
5,M19355,phylogenetic,9,100,100,100,99,99,99,0.3103448276,31.03448276
5,M19355,phylogenetic,11,100,100,100,100,100,100,0.3793103448,37.93103448
5,M19355,phylogenetic,8,50,100,74,95,79,92,0.275862069,27.5862069
5,M19355,phylogenetic,29,100,100,100,100,100,100,1,100
5,M19355,phylogenetic,0,100,100,100,100,100,100,0,0
6,M20986,phylogenetic,15,100,100,100,100,100,100,0.2542372881,25.42372881
6,M20986,phylogenetic,21,100,100,100,100,100,100,0.3559322034,35.59322034
6,M20986,phylogenetic,31,100,100,100,100,100,100,0.5254237288,52.54237288
6,M20986,phylogenetic,1,10,30,18,41,27,27,0.01694915254,1.694915254
6,M20986,phylogenetic,27,100,100,100,100,100,100,0.4576271186,45.76271186
6,M20986,phylogenetic,9,100,100,99,100,98,100,0.1525423729,15.25423729
6,M20986,phylogenetic,13,100,100,98,100,99,100,0.2203389831,22.03389831
6,M20986,phylogenetic,1,50,60,14,28,19,14,0.01694915254,1.694915254
6,M20986,phylogenetic,4,60,60,47,48,46,53,0.06779661017,6.779661017
6,M20986,phylogenetic,4,60,60,56,56,51,61,0.06779661017,6.779661017
6,M20986,phylogenetic,18,100,100,100,100,100,100,0.3050847458,30.50847458
6,M20986,phylogenetic,11,100,100,97,100,98,100,0.186440678,18.6440678
6,M20986,phylogenetic,1,50,10,31,38,42,49,0.01694915254,1.694915254
6,M20986,phylogenetic,2,40,70,49,55,43,50,0.03389830508,3.389830508
6,M20986,phylogenetic,1,60,20,34,52,43,48,0.01694915254,1.694915254
6,M20986,phylogenetic,3,40,30,38,56,40,55,0.05084745763,5.084745763
6,M20986,phylogenetic,3,20,30,10,9,8,9,0.05084745763,5.084745763
6,M20986,phylogenetic,2,100,100,93,95,89,91,0.03389830508,3.389830508
6,M20986,phylogenetic,1,70,70,53,63,63,64,0.01694915254,1.694915254
6,M20986,phylogenetic,2,70,90,85,84,86,87,0.03389830508,3.389830508
6,M20986,phylogenetic,1,80,70,68,68,61,64,0.01694915254,1.694915254
6,M20986,phylogenetic,5,100,100,100,100,99,99,0.08474576271,8.474576271
6,M20986,phylogenetic,6,100,80,93,96,95,97,0.1016949153,10.16949153
6,M20986,phylogenetic,3,70,50,48,75,63,76,0.05084745763,5.084745763
6,M20986,phylogenetic,2,40,50,63,67,68,70,0.03389830508,3.389830508
6,M20986,phylogenetic,7,80,100,96,99,98,99,0.1186440678,11.86440678
6,M20986,phylogenetic,4,80,80,78,96,83,94,0.06779661017,6.779661017
6,M20986,phylogenetic,14,100,100,100,100,100,99,0.2372881356,23.72881356
6,M20986,phylogenetic,2,100,80,75,83,72,77,0.03389830508,3.389830508
6,M20986,phylogenetic,5,20,100,26,61,28,56,0.08474576271,8.474576271
6,M20986,phylogenetic,10,60,100,77,88,78,89,0.1694915254,16.94915254
6,M20986,phylogenetic,1,40,30,30,22,28,32,0.01694915254,1.694915254
6,M20986,phylogenetic,17,100,100,100,100,99,100,0.2881355932,28.81355932
6,M20986,phylogenetic,5,40,80,43,73,44,67,0.08474576271,8.474576271
6,M20986,phylogenetic,13,100,100,100,100,100,100,0.2203389831,22.03389831
6,M20986,phylogenetic,1,60,70,58,40,44,52,0.01694915254,1.694915254
6,M20986,phylogenetic,3,70,70,65,72,63,69,0.05084745763,5.084745763
6,M20986,phylogenetic,10,60,100,83,88,86,92,0.1694915254,16.94915254
6,M20986,phylogenetic,5,30,100,46,62,47,65,0.08474576271,8.474576271
6,M20986,phylogenetic,5,50,70,42,64,43,62,0.08474576271,8.474576271
6,M20986,phylogenetic,4,40,40,51,53,43,51,0.06779661017,6.779661017
6,M20986,phylogenetic,6,70,70,70,84,75,83,0.1016949153,10.16949153
6,M20986,phylogenetic,59,100,100,100,100,100,100,1,100
6,M20986,phylogenetic,12,80,100,85,90,85,92,0.2033898305,20.33898305
6,M20986,phylogenetic,4,20,50,22,40,27,39,0.06779661017,6.779661017
6,M20986,phylogenetic,37,100,100,100,100,100,100,0.6271186441,62.71186441
6,M20986,phylogenetic,1,30,10,15,24,23,24,0.01694915254,1.694915254
6,M20986,phylogenetic,37,100,100,100,100,100,100,0.6271186441,62.71186441
6,M20986,phylogenetic,40,100,100,100,100,100,100,0.6779661017,67.79661017
6,M20986,phylogenetic,17,100,100,100,100,99,100,0.2881355932,28.81355932
6,M20986,phylogenetic,0,100,100,100,100,100,100,0,0
7,M21278,phylogenetic,7,90,100,82,97,88,96,1,100
7,M21278,phylogenetic,1,80,60,51,72,50,64,0.1428571429,14.28571429
7,M21278,phylogenetic,2,20,10,14,18,10,17,0.2857142857,28.57142857
7,M21278,phylogenetic,2,30,40,35,37,31,32,0.2857142857,28.57142857
7,M21278,phylogenetic,1,20,40,32,40,34,44,0.1428571429,14.28571429
7,M21278,phylogenetic,3,60,80,56,72,56,68,0.4285714286,42.85714286
7,M21278,phylogenetic,2,100,100,91,88,89,88,0.2857142857,28.57142857
7,M21278,phylogenetic,3,60,70,73,87,71,85,0.4285714286,42.85714286
7,M21278,phylogenetic,1,20,90,40,42,39,36,0.1428571429,14.28571429
7,M21278,phylogenetic,2,50,50,58,63,56,64,0.2857142857,28.57142857
7,M21278,phylogenetic,1,10,50,17,22,18,18,0.1428571429,14.28571429
7,M21278,phylogenetic,1,70,20,36,44,39,47,0.1428571429,14.28571429
7,M21278,phylogenetic,1,60,90,69,70,63,64,0.1428571429,14.28571429
7,M21278,phylogenetic,2,80,90,78,86,80,84,0.2857142857,28.57142857
7,M21278,phylogenetic,0,100,100,100,100,100,100,0,0
8,M21280,phylogenetic,1,10,20,19,30,24,33,0.125,12.5
8,M21280,phylogenetic,8,100,100,100,100,99,100,1,100
8,M21280,phylogenetic,6,100,100,97,100,97,98,0.75,75
8,M21280,phylogenetic,5,100,100,100,100,99,99,0.625,62.5
8,M21280,phylogenetic,3,80,90,93,83,84,83,0.375,37.5
8,M21280,phylogenetic,1,60,50,62,62,64,63,0.125,12.5
8,M21280,phylogenetic,1,80,30,65,61,64,61,0.125,12.5
8,M21280,phylogenetic,1,70,70,66,58,62,62,0.125,12.5
8,M21280,phylogenetic,0,100,100,100,100,100,100,0,0
9,M21592,phylogenetic,2,70,80,65,67,62,66,0.1176470588,11.76470588
9,M21592,phylogenetic,3,70,30,60,62,59,70,0.1764705882,17.64705882
9,M21592,phylogenetic,3,80,60,51,62,48,65,0.1764705882,17.64705882
9,M21592,phylogenetic,16,100,100,100,100,100,100,0.9411764706,94.11764706
9,M21592,phylogenetic,14,100,100,100,100,100,100,0.8235294118,82.35294118
9,M21592,phylogenetic,10,90,100,91,99,93,97,0.5882352941,58.82352941
9,M21592,phylogenetic,17,100,100,100,100,99,99,1,100
9,M21592,phylogenetic,1,20,20,32,40,36,45,0.05882352941,5.882352941
9,M21592,phylogenetic,1,10,10,25,29,25,34,0.05882352941,5.882352941
9,M21592,phylogenetic,2,90,70,73,77,80,78,0.1176470588,11.76470588
9,M21592,phylogenetic,5,100,100,92,95,94,94,0.2941176471,29.41176471
9,M21592,phylogenetic,3,80,30,54,44,59,59,0.1764705882,17.64705882
9,M21592,phylogenetic,3,60,20,29,27,35,42,0.1764705882,17.64705882
9,M21592,phylogenetic,13,100,100,100,100,100,100,0.7647058824,76.47058824
9,M21592,phylogenetic,2,80,60,41,60,43,51,0.1176470588,11.76470588
9,M21592,phylogenetic,3,60,80,81,80,79,82,0.1764705882,17.64705882
9,M21592,phylogenetic,1,10,40,25,43,29,38,0.05882352941,5.882352941
9,M21592,phylogenetic,2,40,80,71,72,71,76,0.1176470588,11.76470588
9,M21592,phylogenetic,8,100,100,100,100,99,99,0.4705882353,47.05882353
9,M21592,phylogenetic,2,100,90,88,89,87,85,0.1176470588,11.76470588
9,M21592,phylogenetic,4,90,100,87,94,87,92,0.2352941176,23.52941176
9,M21592,phylogenetic,4,100,70,81,76,77,88,0.2352941176,23.52941176
9,M21592,phylogenetic,5,90,100,86,97,86,93,0.2941176471,29.41176471
9,M21592,phylogenetic,1,60,20,35,29,37,40,0.05882352941,5.882352941
9,M21592,phylogenetic,1,60,60,57,48,60,61,0.05882352941,5.882352941
9,M21592,phylogenetic,8,100,100,100,100,99,100,0.4705882353,47.05882353
9,M21592,phylogenetic,2,70,80,77,80,68,74,0.1176470588,11.76470588
9,M21592,phylogenetic,2,20,10,30,30,29,34,0.1176470588,11.76470588
9,M21592,phylogenetic,1,40,30,58,57,58,53,0.05882352941,5.882352941
9,M21592,phylogenetic,5,100,100,99,95,95,96,0.2941176471,29.41176471
9,M21592,phylogenetic,1,10,30,27,39,24,32,0.05882352941,5.882352941
9,M21592,phylogenetic,2,40,40,49,45,36,43,0.1176470588,11.76470588
9,M21592,phylogenetic,2,30,40,51,55,42,53,0.1176470588,11.76470588
9,M21592,phylogenetic,3,100,100,95,96,94,94,0.1764705882,17.64705882
9,M21592,phylogenetic,7,100,80,91,94,85,96,0.4117647059,41.17647059
9,M21592,phylogenetic,1,40,40,60,47,54,45,0.05882352941,5.882352941
9,M21592,phylogenetic,12,100,100,100,100,99,100,0.7058823529,70.58823529
9,M21592,phylogenetic,4,30,80,57,64,47,60,0.2352941176,23.52941176
9,M21592,phylogenetic,0,100,100,100,100,100,100,0,0
10,M21595,phylogenetic,1,50,60,68,55,63,61,0.3333333333,33.33333333
10,M21595,phylogenetic,2,80,50,76,82,80,83,0.6666666667,66.66666667
10,M21595,phylogenetic,1,40,40,61,64,64,61,0.3333333333,33.33333333
10,M21595,phylogenetic,1,60,10,60,61,59,62,0.3333333333,33.33333333
10,M21595,phylogenetic,1,70,70,59,61,62,64,0.3333333333,33.33333333
10,M21595,phylogenetic,3,100,100,91,97,95,96,1,100
10,M21595,phylogenetic,2,70,80,84,85,83,86,0.6666666667,66.66666667
10,M21595,phylogenetic,0,100,100,100,100,100,100,0,0
11,M21596,phylogenetic,44,100,100,100,100,100,100,0.1725490196,17.25490196
11,M21596,phylogenetic,3,100,100,91,94,90,94,0.01176470588,1.176470588
11,M21596,phylogenetic,7,100,100,100,100,99,100,0.02745098039,2.745098039
11,M21596,phylogenetic,1,90,60,62,61,63,63,0.003921568627,0.3921568627
11,M21596,phylogenetic,4,100,100,98,98,97,97,0.01568627451,1.568627451
11,M21596,phylogenetic,10,100,100,100,100,99,99,0.03921568627,3.921568627
11,M21596,phylogenetic,14,100,100,100,100,100,100,0.05490196078,5.490196078
11,M21596,phylogenetic,5,80,80,71,88,80,89,0.01960784314,1.960784314
11,M21596,phylogenetic,1,70,50,64,62,61,65,0.003921568627,0.3921568627
11,M21596,phylogenetic,3,90,100,95,96,96,95,0.01176470588,1.176470588
